epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,393.69,0.67471,0.47129,1.02529,0.94887,0.96875,0.98052,0.83683,0.58327,0.45894,0.94759,0.00166736,0.00166736,0.00166736
44,401.282,0.6567,0.45683,1.01357,0.96823,0.9524,0.97863,0.82928,0.62538,0.60333,0.98082,0.00165944,0.00165944,0.00165944
45,411.244,0.65331,0.46682,1.03228,0.9592,0.94792,0.9808,0.83776,0.60185,0.50835,0.96899,0.00165152,0.00165152,0.00165152
46,418.803,0.66559,0.45052,1.02106,0.93969,0.97917,0.98101,0.83996,0.60369,0.476,0.9667,0.0016436,0.0016436,0.0016436
47,428.645,0.67277,0.45564,1.03363,0.96854,0.95833,0.98726,0.8303,0.63107,0.50905,0.99537,0.00163568,0.00163568,0.00163568
48,437.138,0.64404,0.44391,1.00997,0.95836,0.95906,0.98847,0.82728,0.58482,0.54403,0.94465,0.00162776,0.00162776,0.00162776
49,446.524,0.63826,0.4331,1.00945,0.97911,0.97665,0.98805,0.82458,0.63314,0.56189,0.99248,0.00161984,0.00161984,0.00161984
50,454.923,0.65703,0.44261,1.02493,0.97843,0.94489,0.98248,0.822,0.62765,0.45948,0.98428,0.00161192,0.00161192,0.00161192
51,464.181,0.6309,0.41936,0.99283,0.96858,0.96335,0.98309,0.82639,0.63849,0.40987,1.01001,0.001604,0.001604,0.001604
52,472.97,0.60609,0.42004,0.98593,0.94722,0.95833,0.97316,0.81486,0.61193,0.52663,0.98235,0.00159608,0.00159608,0.00159608
53,481.378,0.65875,0.47047,1.01942,0.95699,0.91667,0.96464,0.80908,0.57743,0.67832,0.94868,0.00158816,0.00158816,0.00158816
54,489.94,0.63504,0.43607,1.02059,0.97365,0.95833,0.97761,0.84778,0.57028,0.43347,0.9311,0.00158024,0.00158024,0.00158024
55,498.56,0.61811,0.4264,1.01376,0.94906,0.96875,0.97728,0.82426,0.59611,0.46286,0.9815,0.00157232,0.00157232,0.00157232
56,507.504,0.6223,0.41876,1.02354,0.97878,0.96099,0.98356,0.84154,0.61745,0.40761,0.96119,0.0015644,0.0015644,0.0015644
57,515.159,0.60224,0.41458,1.00281,0.92502,0.95833,0.97603,0.82821,0.59883,0.48907,0.95364,0.00155648,0.00155648,0.00155648
58,525.158,0.58724,0.41183,1.00234,0.97933,0.98716,0.99299,0.84152,0.58907,0.36991,0.95281,0.00154856,0.00154856,0.00154856
59,532.586,0.58759,0.42067,0.97318,0.97889,0.96627,0.98769,0.83897,0.58113,0.41603,0.95432,0.00154064,0.00154064,0.00154064
60,542.466,0.6057,0.42164,0.98948,0.98424,0.96875,0.98453,0.84637,0.57019,0.4422,0.94842,0.00153272,0.00153272,0.00153272
61,550.421,0.60318,0.42684,0.99912,0.96595,0.97917,0.98249,0.81526,0.60602,0.44727,0.95973,0.0015248,0.0015248,0.0015248
62,560.209,0.63023,0.44751,1.03391,0.97884,0.96875,0.98143,0.84584,0.54646,0.46547,0.9619,0.00151688,0.00151688,0.00151688
63,568.851,0.59294,0.43031,0.97559,0.97866,0.95529,0.98461,0.83723,0.58014,0.4627,0.96946,0.00150896,0.00150896,0.00150896
64,578.162,0.62112,0.42891,1.00636,0.98168,0.95833,0.9878,0.83576,0.61845,0.42838,0.9846,0.00150104,0.00150104,0.00150104
65,586.549,0.60279,0.4126,1.00041,0.98264,0.92708,0.98062,0.83644,0.57023,0.39461,0.9453,0.00149312,0.00149312,0.00149312
66,595.254,0.62361,0.41157,0.99473,0.94924,0.97401,0.96932,0.82949,0.57808,0.45345,0.96395,0.0014852,0.0014852,0.0014852
67,604.465,0.57454,0.38379,0.99188,0.93684,0.97917,0.97795,0.83717,0.56896,0.49974,0.94671,0.00147728,0.00147728,0.00147728
68,612.747,0.57751,0.38758,0.97144,0.95242,0.97917,0.97823,0.84638,0.56601,0.40913,0.95516,0.00146936,0.00146936,0.00146936
69,622.119,0.59283,0.4036,0.99169,0.96864,0.96529,0.98686,0.83636,0.55074,0.3941,0.94484,0.00146144,0.00146144,0.00146144
70,629.944,0.5381,0.37917,0.97401,0.89241,0.95039,0.95828,0.82162,0.58207,0.49025,0.97578,0.00145352,0.00145352,0.00145352
71,639.378,0.56617,0.39209,0.97812,0.93129,0.94792,0.97036,0.82188,0.60575,0.47513,0.99728,0.0014456,0.0014456,0.0014456
72,646.937,0.59907,0.40742,0.98483,0.94886,0.97917,0.9858,0.85614,0.55942,0.40355,0.93557,0.00143768,0.00143768,0.00143768
73,657.119,0.54253,0.37577,0.9529,0.97724,0.97917,0.98706,0.8463,0.54388,0.38132,0.92564,0.00142976,0.00142976,0.00142976
74,664.873,0.55078,0.38189,0.95747,0.94887,0.96875,0.98443,0.8346,0.57045,0.40919,0.92611,0.00142184,0.00142184,0.00142184
75,674.484,0.59942,0.4167,0.99579,0.90305,0.97024,0.98175,0.83694,0.62169,0.4401,0.95292,0.00141392,0.00141392,0.00141392
76,682.194,0.56386,0.39308,0.97441,0.98188,0.96875,0.98324,0.84871,0.56677,0.36556,0.94114,0.001406,0.001406,0.001406
77,691.804,0.60305,0.40181,1.00176,0.96869,0.97917,0.98272,0.86148,0.54093,0.36495,0.92741,0.00139808,0.00139808,0.00139808
78,700.642,0.56431,0.39249,0.97959,0.97637,0.95833,0.97948,0.86441,0.54971,0.38284,0.94518,0.00139016,0.00139016,0.00139016
79,709.769,0.57363,0.38998,1.00704,0.97331,0.95833,0.98484,0.85896,0.57734,0.3949,0.95636,0.00138224,0.00138224,0.00138224
80,718.05,0.55779,0.39709,0.97399,0.98565,0.94792,0.98048,0.84549,0.58665,0.38409,0.95563,0.00137432,0.00137432,0.00137432
81,727.226,0.58142,0.40188,0.98877,0.98915,0.95833,0.98061,0.86274,0.53481,0.38342,0.92865,0.0013664,0.0013664,0.0013664
82,735.576,0.55717,0.39099,0.94938,0.96927,0.98579,0.98287,0.85463,0.51225,0.36416,0.92207,0.00135848,0.00135848,0.00135848
83,744.886,0.57129,0.36865,0.98323,0.9606,0.94792,0.97868,0.85908,0.52963,0.38579,0.91852,0.00135056,0.00135056,0.00135056
84,753.102,0.57538,0.3853,0.98768,0.96873,0.96798,0.98444,0.85338,0.56166,0.34533,0.9319,0.00134264,0.00134264,0.00134264
85,761.324,0.55087,0.37248,0.98738,0.97044,0.95833,0.98422,0.86651,0.529,0.35681,0.928,0.00133472,0.00133472,0.00133472
86,771.008,0.59051,0.39151,0.99477,0.96703,0.96875,0.97843,0.86508,0.51878,0.37152,0.92416,0.0013268,0.0013268,0.0013268
87,779.185,0.54902,0.35882,0.9625,0.97663,0.97917,0.97872,0.84072,0.59612,0.41845,0.96148,0.00131888,0.00131888,0.00131888
88,788.501,0.59287,0.3908,0.99654,0.96896,0.97561,0.97881,0.85578,0.55811,0.40637,0.93967,0.00131096,0.00131096,0.00131096
89,796.38,0.56345,0.38333,0.99755,0.9783,0.97917,0.98199,0.83747,0.61008,0.40523,0.98209,0.00130304,0.00130304,0.00130304
90,805.736,0.5316,0.35763,0.9591,0.96812,0.97917,0.98636,0.86759,0.55307,0.36368,0.93904,0.00129512,0.00129512,0.00129512
91,813.366,0.53051,0.36782,0.95657,0.96529,0.95833,0.9871,0.85792,0.55688,0.34342,0.93483,0.0012872,0.0012872,0.0012872
92,823.433,0.54344,0.36027,0.97311,0.97235,0.97917,0.98837,0.87598,0.53386,0.34881,0.9263,0.00127928,0.00127928,0.00127928
93,831.267,0.54942,0.35855,0.97418,0.97907,0.97453,0.98858,0.87705,0.51716,0.32335,0.921,0.00127136,0.00127136,0.00127136
94,841.424,0.54311,0.35141,0.96261,0.97901,0.97171,0.98654,0.86445,0.54078,0.33334,0.92468,0.00126344,0.00126344,0.00126344
95,849.659,0.52222,0.3343,0.95535,0.98832,0.97917,0.98884,0.88351,0.52276,0.32153,0.92524,0.00125552,0.00125552,0.00125552
96,859.641,0.53615,0.35359,0.98614,0.97889,0.96605,0.9861,0.85337,0.54648,0.35857,0.94183,0.0012476,0.0012476,0.0012476
97,868.03,0.54751,0.37314,0.99184,0.97833,0.94056,0.97106,0.84347,0.54305,0.38065,0.93867,0.00123968,0.00123968,0.00123968
98,877.535,0.49325,0.33151,0.94156,0.96668,0.9375,0.96776,0.84729,0.50848,0.38412,0.93825,0.00123176,0.00123176,0.00123176
99,885.791,0.52445,0.35577,0.97692,0.97872,0.9375,0.97995,0.86722,0.53283,0.36636,0.92813,0.00122384,0.00122384,0.00122384
100,894.105,0.53744,0.3679,0.96526,0.9679,0.97917,0.98875,0.87557,0.50987,0.34421,0.92021,0.00121592,0.00121592,0.00121592
101,903.218,0.5103,0.35227,0.95594,0.97251,0.96875,0.98482,0.87389,0.52993,0.36918,0.93483,0.001208,0.001208,0.001208
102,911.37,0.50612,0.35448,0.96649,0.97521,0.97917,0.9825,0.87559,0.52248,0.37603,0.92644,0.00120008,0.00120008,0.00120008
103,920.861,0.51167,0.34562,0.97428,0.96906,0.97885,0.98798,0.86963,0.52609,0.33205,0.91818,0.00119216,0.00119216,0.00119216
104,928.903,0.48904,0.32222,0.9351,0.97737,0.96875,0.98776,0.87752,0.52086,0.32806,0.91782,0.00118424,0.00118424,0.00118424
105,938.625,0.50569,0.34496,0.95537,0.96689,0.97917,0.98823,0.87135,0.52667,0.33455,0.91598,0.00117632,0.00117632,0.00117632
106,946.652,0.49668,0.33773,0.94515,0.96697,1,0.99026,0.87097,0.53924,0.32668,0.91718,0.0011684,0.0011684,0.0011684
107,956.495,0.50804,0.34169,0.96653,0.97944,1,0.99105,0.86404,0.50961,0.31758,0.91802,0.00116048,0.00116048,0.00116048
108,964.156,0.5225,0.35246,0.9594,0.96768,0.98958,0.98519,0.87293,0.51532,0.32731,0.91856,0.00115256,0.00115256,0.00115256
109,974.003,0.53395,0.35069,0.97678,0.97528,0.96875,0.98453,0.87375,0.50815,0.32348,0.91348,0.00114464,0.00114464,0.00114464
110,982.464,0.50125,0.32046,0.94038,0.96423,0.97917,0.98564,0.87632,0.53299,0.33311,0.92805,0.00113672,0.00113672,0.00113672
111,991.808,0.50756,0.34217,0.94928,0.97583,0.96875,0.98889,0.8657,0.53625,0.33615,0.92729,0.0011288,0.0011288,0.0011288
112,1000.44,0.50985,0.34694,0.94594,0.95996,0.99889,0.98861,0.88139,0.5226,0.31018,0.91436,0.00112088,0.00112088,0.00112088
113,1009.46,0.50775,0.33116,0.93748,0.96967,0.99924,0.9905,0.87287,0.53931,0.31205,0.91894,0.00111296,0.00111296,0.00111296
114,1017.95,0.50589,0.33125,0.93822,0.97853,0.96875,0.98894,0.89949,0.49443,0.30404,0.90858,0.00110504,0.00110504,0.00110504
115,1026.48,0.48248,0.32648,0.9491,0.98808,0.95833,0.98547,0.88813,0.50432,0.32674,0.92217,0.00109712,0.00109712,0.00109712
116,1035.64,0.47614,0.31579,0.95033,0.9747,0.96875,0.9736,0.85979,0.54125,0.35895,0.93243,0.0010892,0.0010892,0.0010892
117,1043.7,0.4783,0.31851,0.93332,0.98631,0.96875,0.98289,0.89096,0.49671,0.32959,0.91952,0.00108128,0.00108128,0.00108128
118,1053.08,0.50131,0.34085,0.95456,0.98703,0.95833,0.97644,0.87289,0.51099,0.36917,0.91894,0.00107336,0.00107336,0.00107336
119,1060.69,0.47874,0.32172,0.93429,0.98935,0.96737,0.98405,0.87973,0.47265,0.32409,0.90194,0.00106544,0.00106544,0.00106544
120,1070.5,0.48618,0.31865,0.95195,0.97893,0.96792,0.98883,0.88899,0.50766,0.33058,0.90695,0.00105752,0.00105752,0.00105752
121,1078.56,0.49574,0.33465,0.94521,0.98933,0.96555,0.98559,0.89756,0.47649,0.34278,0.90591,0.0010496,0.0010496,0.0010496
122,1088.27,0.48619,0.33705,0.96285,0.99355,0.96875,0.98788,0.88491,0.50804,0.32251,0.91499,0.00104168,0.00104168,0.00104168
123,1096.48,0.47377,0.31866,0.93721,0.98717,0.97917,0.99157,0.87432,0.50673,0.30082,0.91855,0.00103376,0.00103376,0.00103376
124,1105.87,0.48077,0.3244,0.936,0.97734,0.97917,0.98663,0.88915,0.48466,0.31681,0.90488,0.00102584,0.00102584,0.00102584
125,1114.4,0.44323,0.30137,0.92932,0.98721,0.96875,0.984,0.87739,0.51513,0.32435,0.91822,0.00101792,0.00101792,0.00101792
126,1123.11,0.46342,0.30179,0.93855,0.97793,0.96875,0.98683,0.8799,0.49367,0.34237,0.91158,0.00101,0.00101,0.00101
127,1131.68,0.44078,0.31095,0.92179,0.97804,0.96875,0.98021,0.8791,0.51738,0.37081,0.92223,0.00100208,0.00100208,0.00100208
128,1140.39,0.45528,0.30862,0.91879,0.98817,0.96875,0.9822,0.88171,0.51071,0.3512,0.92189,0.00099416,0.00099416,0.00099416
129,1149.37,0.46564,0.31462,0.93451,0.97937,0.96875,0.97284,0.85901,0.52971,0.35679,0.94683,0.00098624,0.00098624,0.00098624
